#,Song,Artist,Country of origin,Duration,Genre,Solo or Group
91,Happy Birthday Helen,Things of Stone and Wood, Australia,3:49,Folk Rock,Group
92,I Feel You,Depeche Mode, United Kingdom,4:36,Synth-Pop,Group
93,Man on the Moon,R.E.M., United States,5:14,Rock,Group
94,Sweat (A La La La La Long),Inner Circle, Jamaica,3:46,Reggae,Group
95,Delivery Man,The Cruel Sea, Australia,5:08,Indie Rock,Group
96,Candy Everybody Wants,"10,000 Maniacs", United States,3:08,Alternative Rock,Group
97,Rubberband Girl,Kate Bush, United Kingdom,4:45,Art Pop,Solo
98,Freedom,Kev Carmody, Australia,6:51,Acoustic,Solo
99,Ebeneezer Goode,The Shamen, United Kingdom,3:52,Electronic,Goup
100,Gloria,Van Morrison and John Lee Hooker, Ireland/ United States,5:20,Rock,Feature
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
